person_identifier,rural_urban,survey_weight,smoke,age,race,gender,highest_education,educ_highest_school_grade,educ_current_level
311939,Urban,1430.429,No,25,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
720766,Traditional,105.8435,No,49,African,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
636985,Urban,2107.515,No,74,White,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
653862,Urban,2107.515,No,74,White,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
401932,Urban,100.3418,No,23,Coloured,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
304676,Urban,583.4381,No,57,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
402672,Urban,583.4381,No,23,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,Diploma requiring Grade 12/Std. 10
309870,Urban,396.3192,No,23,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
402674,Traditional,342.3886,No,19,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
713687,Traditional,342.3886,No,60,African,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
742497,Farms,229.4881,No,30,African,Male,Others (Specify),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
718073,Traditional,197.0858,No,66,African,Male,No Schooling,No schooling,
772709,Traditional,197.0858,No,21,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
776547,Traditional,197.0858,No,58,African,Female,Grade 6 (Std. 4),Grade 6/Std. 4,
405219,Traditional,667.1946,No,19,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,Grade 11/Std. 9/Form 4
301340,Urban,8139.056,No,54,African,Male,Certificate not requiring Grade 12/Std. 10,Grade 11/Std. 9/Form 4,
402161,Urban,8139.056,No,18,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
720668,Urban,8139.056,No,60,African,Female,Certificate not requiring Grade 12/Std. 10,Grade 10/Std. 8/Form 3,
312669,Traditional,619.7483,No,68,African,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
312695,Traditional,619.7483,Yes,29,African,Male,Grade 7 (Std. 5),Grade 7/Std. 5,
406653,Traditional,619.7483,No,19,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
767147,Traditional,328.8073,No,60,African,Female,Grade 3 (Std. 1),Grade 3/Std. 1,
310964,Urban,548.1436,No,29,African,Male,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
719469,Urban,334.2875,No,58,African,Female,Grade 1 (Previously Sub A/Class 1),Grade 1/Sub A/Class 1,
767898,Urban,334.2875,No,47,African,Male,Grade 6 (Std. 4),Grade 6/Std. 4,
301155,Urban,4497.396,No,41,African,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
312244,Traditional,507.4713,No,48,African,Female,Grade 4 (Std. 2),Grade 1/Sub A/Class 1,
312245,Traditional,507.4713,No,55,African,Male,No Schooling,No schooling,
401525,Urban,133.775,No,19,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
725043,Urban,133.775,No,77,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
725047,Urban,133.775,Yes,31,African,Male,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
651943,Urban,2496.964,No,53,White,Female,Bachelors Degree,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
657609,Urban,2496.964,No,23,White,Female,Honours Degree,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,Honours Degree
693083,Urban,2496.964,No,28,White,Female,Honours Degree,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
316260,Farms,954.8953,No,42,African,Female,Grade 6 (Std. 4),Grade 6/Std. 4,
304129,Urban,867.8499,No,25,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
402943,Urban,867.8499,No,19,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
722297,Urban,867.8499,No,56,African,Female,Grade 7 (Std. 5),Grade 6/Std. 4,
722298,Urban,867.8499,No,31,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
315948,Traditional,506.3053,No,76,African,Male,No Schooling,No schooling,
312023,Traditional,504.0722,No,48,African,Female,No Schooling,No schooling,
406878,Traditional,504.0722,Yes,20,African,Male,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
733336,Traditional,504.0722,No,18,African,Male,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,Grade 10/Std. 8/Form 3
733939,Traditional,504.0722,No,49,African,Male,Grade 7 (Std. 5),Grade 7/Std. 5,
311734,Traditional,4151.427,No,30,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
316426,Traditional,604.7333,No,77,African,Female,No Schooling,No schooling,
316427,Traditional,604.7333,No,38,African,Female,No Schooling,No schooling,
611437,Urban,1414.396,No,50,African,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
306027,Urban,884.3286,No,29,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
307338,Urban,2927.687,No,34,African,Male,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
304549,Urban,2256.806,Yes,40,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
322746,Farms,1836.239,No,68,Coloured,Female,No Schooling,No schooling,
323475,Farms,1836.239,No,34,Coloured,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
591141,Farms,1836.239,Yes,38,Coloured,Male,Grade 7 (Std. 5),Grade 7/Std. 5,
302481,Traditional,3809.658,No,43,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
408879,Traditional,3809.658,No,18,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
501252,Traditional,3809.658,No,24,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
406846,Traditional,686.8223,No,21,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,Bachelors Degree
700829,Traditional,175.9608,No,65,African,Female,No Schooling,No schooling,
645837,Urban,1592.305,No,48,African,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
679529,Urban,1592.305,No,41,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
311457,Farms,339.5664,No,68,African,Female,No Schooling,No schooling,
752849,Farms,339.5664,No,19,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,Grade 11/Std. 9/Form 4
323906,Urban,475.7753,Yes,33,African,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
715139,Urban,475.7753,No,45,African,Male,Certificate not requiring Grade 12/Std. 10,Grade 11/Std. 9/Form 4,
795581,Traditional,1929.938,No,51,African,Female,Grade 3 (Std. 1),Grade 3/Std. 1,
309090,Traditional,1954.295,No,31,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
722257,Traditional,1954.295,No,31,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
657066,Urban,2602.233,Yes,30,African,Male,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
315371,Urban,758.2619,No,47,African,Female,Bachelors Degree and diploma,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
412517,Urban,269.9903,No,21,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,National Certificate Vocational 3 (NCV 3)
735954,Urban,269.9903,No,36,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
302546,Urban,2439.671,Yes,28,African,Female,Grade 8 (Std. 6/Form 1),Grade 8/Std. 6/Form 1,
771426,Urban,2439.671,No,30,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
318865,Urban,1897.986,No,31,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
310924,Traditional,553.9424,No,27,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
766197,Traditional,553.9424,No,22,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
313782,Farms,643.322,No,54,African,Female,Grade 4 (Std. 2),Grade 4/Std. 2,
317378,Farms,643.322,Yes,31,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
408736,Farms,643.322,No,21,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
317545,Urban,1240.521,Yes,38,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
313119,Traditional,279.8815,No,31,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
303482,Urban,1232.272,No,46,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
405528,Urban,1232.272,No,21,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
621320,Urban,4153.358,No,45,White,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
323697,Urban,1254.656,No,48,Coloured,Female,Certificate not requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
412131,Urban,1254.656,No,19,Coloured,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
412492,Urban,1254.656,No,24,Coloured,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,Don't know
728765,Urban,1254.656,No,76,Coloured,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
408644,Farms,522.0023,Yes,24,Coloured,Male,Grade 8 (Std. 6/Form 1),Grade 8/Std. 6/Form 1,
768045,Farms,522.0023,Yes,27,Coloured,Female,Grade 8 (Std. 6/Form 1),Grade 8/Std. 6/Form 1,
320814,Urban,2356.137,No,64,White,Female,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
316364,Traditional,7039.651,No,40,African,Male,Grade 6 (Std. 4),Grade 6/Std. 4,
314092,Urban,15980.66,Yes,39,African,Male,Diploma not requiring Grade 12/Std. 10,Grade 5/Std. 3,
706157,Urban,15980.66,Yes,43,African,Male,Diploma not requiring Grade 12/Std. 10,Grade 6/Std. 4,
317961,Urban,2945.974,No,65,African,Female,Grade 8 (Std. 6/Form 1),Grade 8/Std. 6/Form 1,
704285,Traditional,243.6783,No,57,African,Female,Grade 5 (Std. 3),Grade 5/Std. 3,
773168,Traditional,243.6783,No,25,African,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
312560,Urban,1155.711,No,33,African,Female,Bachelors Degree,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
406452,Urban,1155.711,No,18,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
381389,Farms,3132.181,No,50,African,Female,Grade 4 (Std. 2),Grade 3/Std. 1,
481181,Farms,3132.181,No,18,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
306827,Urban,866.3585,No,46,Coloured,Female,Grade 6 (Std. 4),Grade 5/Std. 3,
321830,Urban,558.7803,Yes,67,White,Male,Certificate not requiring Grade 12/Std. 10,Grade 10/Std. 8/Form 3,
321865,Urban,558.7803,Yes,66,White,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
501804,Urban,988.1859,Yes,29,African,Male,Grade 10 (Std. 8/Form 3),Grade 7/Std. 5,
764713,Urban,500.3905,No,69,African,Female,Grade 4 (Std. 2),Grade 4/Std. 2,
322424,Traditional,14635.26,Yes,48,African,Male,Grade 5 (Std. 3),Grade 5/Std. 3,
304460,Traditional,1620.589,No,31,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
304461,Traditional,1620.589,No,48,African,Female,No Schooling,No schooling,
731918,Urban,1188.233,No,43,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
301507,Urban,659.0641,No,29,African,Female,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
761424,Urban,659.0641,No,20,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,N6 (NATED)
765243,Urban,659.0641,No,26,African,Female,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
793636,Urban,659.0641,No,31,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
306406,Urban,1347.036,No,41,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
307096,Urban,4215.191,No,41,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
726025,Urban,542.9677,No,65,African,Female,Grade 6 (Std. 4),Grade 6/Std. 4,
726026,Urban,542.9677,No,31,African,Female,Diploma not requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
726027,Urban,542.9677,Yes,26,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
315133,Urban,868.6957,No,39,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
320637,Urban,774.4481,No,40,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
582192,Urban,774.4481,No,25,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
305582,Urban,149.1067,Yes,24,African,Male,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
736728,Urban,149.1067,No,43,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
770287,Urban,149.1067,Yes,45,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
410609,Urban,183.7921,No,20,Coloured,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
323964,Urban,383.2888,No,29,Coloured,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
734067,Urban,383.2888,Yes,34,Coloured,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
310514,Urban,10204.58,Yes,50,Coloured,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
318142,Urban,10204.58,Yes,46,Coloured,Female,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
470173,Urban,10204.58,No,21,Coloured,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
305758,Traditional,732.1887,No,37,African,Male,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
780613,Traditional,732.1887,No,34,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
310510,Urban,3099.69,No,33,Coloured,Female,Certificate not requiring Grade 12/Std. 10,Grade 11/Std. 9/Form 4,
317491,Farms,84.71809,No,59,African,Male,No Schooling,No schooling,
713664,Farms,84.71809,No,24,African,Female,Grade 3 (Std. 1),Grade 3/Std. 1,
715624,Farms,84.71809,No,24,African,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
624932,Urban,1145.908,Yes,37,White,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
703468,Traditional,141.4862,No,20,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,Grade 11/Std. 9/Form 4
763538,Traditional,141.4862,No,64,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
